date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:21:32	355/355	---M--	302	error ('Found')	text/html	date:Wed,%2001%20Feb%202017%2022:07:07%20GMT	http://www-ee.eng.hawaii.edu/robots.txt		(from )
17:21:32	777/777	---M--	200	added ('OK')	text/html	etag:%226392-309-5022d66f0cae4%22	http://www-ee.eng.hawaii.edu/~alek/	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/index.html	(from )
17:21:32	1571/1571	---M--	200	added ('OK')	text/html	etag:%226202-623-53a89d95ee504%22	http://www-ee.eng.hawaii.edu/~alek/top.html	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/top.html	(from http://www-ee.eng.hawaii.edu/~alek/)
17:21:32	242/242	---M--	200	added ('OK')	text/html	etag:%226396-f2-426e32b232d80%22	http://www-ee.eng.hawaii.edu/~alek/left.htm	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/left.html	(from http://www-ee.eng.hawaii.edu/~alek/)
17:21:33	1342/1342	---M--	200	added ('OK')	text/html	etag:%226397-53e-4ab1aebe51180%22	http://www-ee.eng.hawaii.edu/~alek/main.html	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/main.html	(from http://www-ee.eng.hawaii.edu/~alek/)
17:21:33	831/831	---M--	200	added ('OK')	text/html	etag:%226389-33f-429e3017b1080%22	http://www-ee.eng.hawaii.edu/~alek/bottom.html	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/bottom.html	(from http://www-ee.eng.hawaii.edu/~alek/)
17:21:33	1692/1692	---M--	200	added ('OK')	text/css	etag:%226382-69c-426e328c0d380%22	http://www-ee.eng.hawaii.edu/~alek/alek.css	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/alek.css	(from http://www-ee.eng.hawaii.edu/~alek/top.html)
17:21:33	939/939	---M--	200	added ('OK')	image/jpeg	etag:%2262e9-3ab-426e2df14f680%22	http://www-ee.eng.hawaii.edu/~alek/imgs/top1.jpg	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/imgs/top1.jpg	(from http://www-ee.eng.hawaii.edu/~alek/top.html)
17:21:34	830/830	---M--	200	added ('OK')	image/jpeg	etag:%2262ea-33e-426e2df14f680%22	http://www-ee.eng.hawaii.edu/~alek/imgs/top2.jpg	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/imgs/top2.jpg	(from http://www-ee.eng.hawaii.edu/~alek/top.html)
17:21:34	8239/8239	---M--	200	added ('OK')	image/jpeg	etag:%2262ed-202f-429e4430c3b40%22	http://www-ee.eng.hawaii.edu/~alek/imgs/UH_Seal.jpg	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/imgs/UH_Seal.jpg	(from http://www-ee.eng.hawaii.edu/~alek/top.html)
17:21:35	21880/21880	---M--	200	added ('OK')	text/html	etag:%22638d-5578-4ab154deec840%22	http://www-ee.eng.hawaii.edu/~alek/cv.html	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/cv.html	(from http://www-ee.eng.hawaii.edu/~alek/top.html)
17:21:35	2242/2242	---M--	200	added ('OK')	text/html	etag:%2263a2-8c2-426e32b8dfd40%22	http://www-ee.eng.hawaii.edu/~alek/research.html	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/research.html	(from http://www-ee.eng.hawaii.edu/~alek/top.html)
17:21:36	4853/4853	---M--	200	added ('OK')	text/html	etag:%2263b8-12f5-5316bde50f523%22	http://www-ee.eng.hawaii.edu/~alek/ee615.html	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/ee615.html	(from http://www-ee.eng.hawaii.edu/~alek/top.html)
17:21:36	6726/6726	---M--	200	added ('OK')	text/html	etag:%226203-1a46-54198c08f3946%22	http://www-ee.eng.hawaii.edu/~alek/classes.html	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/classes.html	(from http://www-ee.eng.hawaii.edu/~alek/top.html)
17:21:36	1471/1471	---M--	200	added ('OK')	text/html	etag:%2263b3-5bf-5330e52e91ef9%22	http://www-ee.eng.hawaii.edu/~alek/publications.html	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/publications.html	(from http://www-ee.eng.hawaii.edu/~alek/top.html)
17:21:37	2965/2965	---M--	200	added ('OK')	text/html	etag:%22638c-b95-47ce8b765c680%22	http://www-ee.eng.hawaii.edu/~alek/contact.html	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/contact.html	(from http://www-ee.eng.hawaii.edu/~alek/top.html)
17:21:37	703/703	---M--	200	added ('OK')	image/jpeg	etag:%2262df-2bf-426e2dee72fc0%22	http://www-ee.eng.hawaii.edu/~alek/imgs/main1.jpg	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/imgs/main1.jpg	(from http://www-ee.eng.hawaii.edu/~alek/left.htm)
